pathway_id	pathway_name	kc
R-HSA-8876725	Protein methylation	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-8852135	Protein ubiquitination	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-8873719	RAB geranylgeranylation	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-975578	Reactions specific to the complex N-glycan synthesis pathway	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-975574	Reactions specific to the hybrid N-glycan synthesis pathway	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-159418	Recycling of bile acids and salts	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-72731	Recycling of eIF2:GDP	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-400206	Regulation of lipid metabolism by PPARalpha	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-159782	Removal of aminoterminal propeptides from gamma-carboxylated proteins	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-72702	Ribosomal scanning and start codon recognition	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-3065676	SUMO is conjugated to E1 (UBA2:SAE1)	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-3065679	SUMO is proteolytically processed	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-3065678	SUMO is transferred from E1 to E2 (UBE2I, UBC9)	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-2990846	SUMOylation	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-3108214	SUMOylation of DNA damage response and repair proteins	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-4655427	SUMOylation of DNA methylation proteins	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-4570464	SUMOylation of RNA binding proteins	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-4085377	SUMOylation of SUMOylation proteins	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-4551638	SUMOylation of chromatin organization proteins	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-4090294	SUMOylation of intracellular receptors	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-9793242	SUMOylation of nuclear envelope proteins	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-3899300	SUMOylation of transcription cofactors	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-3232118	SUMOylation of transcription factors	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-3232142	SUMOylation of ubiquitinylation proteins	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-4085001	Sialic acid metabolism	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1660661	Sphingolipid de novo biosynthesis	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-428157	Sphingolipid metabolism	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-5683826	Surfactant metabolism	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-2142816	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-2142712	Synthesis of 12-eicosatetraenoic acid derivatives	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-2142770	Synthesis of 15-eicosatetraenoic acid derivatives	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-2142688	Synthesis of 5-eicosatetraenoic acids	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1483171	Synthesis of BMP	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1483076	Synthesis of CL	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-446205	Synthesis of GDP-mannose	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-2142696	Synthesis of Hepoxilins (HX) and Trioxilins (TrX)	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-77111	Synthesis of Ketone Bodies	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-2142691	Synthesis of Leukotrienes (LT) and Eoxins (EX)	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1483166	Synthesis of PA	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1483191	Synthesis of PC	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1483213	Synthesis of PE	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1483148	Synthesis of PG	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1483226	Synthesis of PI	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1483248	Synthesis of PIPs at the ER membrane	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1660514	Synthesis of PIPs at the Golgi membrane	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1660516	Synthesis of PIPs at the early endosome membrane	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1660517	Synthesis of PIPs at the late endosome membrane	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1660499	Synthesis of PIPs at the plasma membrane	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-8847453	Synthesis of PIPs in the nucleus	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1483101	Synthesis of PS	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-446210	Synthesis of UDP-N-acetyl-glucosamine	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-8866652	Synthesis of active ubiquitin: roles of E1 and E2 enzymes	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-192105	Synthesis of bile acids and bile salts	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-193775	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-193807	Synthesis of bile acids and bile salts via 27-hydroxycholesterol	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-5358493	Synthesis of diphthamide-EEF2	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-162699	Synthesis of dolichyl-phosphate mannose	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-480985	Synthesis of dolichyl-phosphate-glucose	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-2142670	Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-162710	Synthesis of glycosylphosphatidylinositol (GPI)	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-446219	Synthesis of substrates in N-glycan biosythesis	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-75876	Synthesis of very long-chain fatty acyl-CoAs	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-422085	Synthesis, secretion, and deacylation of Ghrelin	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-381771	Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-400511	Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-977068	Termination of O-glycan biosynthesis	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1663150	The activation of arylsulfatases	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-72766	Translation	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-72649	Translation initiation complex formation	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-159763	Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-948021	Transport to the Golgi and subsequent modification	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-75109	Triglyceride biosynthesis	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-163560	Triglyceride catabolism	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-8979227	Triglyceride metabolism	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-5689603	UCH proteinases	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-5689880	Ub-specific processing proteases	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-77108	Utilization of Ketone Bodies	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-196791	Vitamin D (calciferol) metabolism	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-8848584	Wax and plasmalogen biosynthesis	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-9640463	Wax biosynthesis	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-2046104	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-2046106	alpha-linolenic acid (ALA) metabolism	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-379724	tRNA Aminoacylation	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA
R-HSA-1369062	ABC transporters in lipid homeostasis	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-352230	Amino acid transport across the plasma membrane	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8963889	Assembly of active LPL and LIPC lipase complexes	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-6807878	COPI-mediated anterograde transport	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-204005	COPII-mediated vesicle transport	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-5694530	Cargo concentration in the ER	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8963888	Chylomicron assembly	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8964026	Chylomicron clearance	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8963901	Chylomicron remodeling	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-9603798	Class I peroxisomal membrane protein import	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-199977	ER to Golgi Anterograde Transport	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8963896	HDL assembly	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8964011	HDL clearance	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8964058	HDL remodeling	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8964038	LDL clearance	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8964041	LDL remodeling	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-9033241	Peroxisomal protein import	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8963898	Plasma lipoprotein assembly	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-174824	Plasma lipoprotein assembly, remodeling, and clearance	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8964043	Plasma lipoprotein clearance	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8963899	Plasma lipoprotein remodeling	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-9033500	TYSND1 cleaves peroxisomal proteins	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-804914	Transport of fatty acids	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-432030	Transport of glycerol from adipocytes to the liver by Aquaporins	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8866423	VLDL assembly	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8964046	VLDL clearance	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-8866427	VLDLR internalisation and degradation	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;DISRUPTS TRANSPORT FUNCTION
R-HSA-5676934	Protein repair	DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA;INDUCES OXIDATIVE STRESS
R-HSA-5619084	ABC transporter disorders	DISRUPTS TRANSPORT FUNCTION
R-HSA-445717	Aquaporin-mediated transport	DISRUPTS TRANSPORT FUNCTION
R-HSA-425381	Bicarbonate transporters	DISRUPTS TRANSPORT FUNCTION
R-HSA-2173782	Binding and Uptake of Ligands by Scavenger Receptors	DISRUPTS TRANSPORT FUNCTION
R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic	DISRUPTS TRANSPORT FUNCTION
R-HSA-6811436	COPI-independent Golgi-to-ER retrograde traffic	DISRUPTS TRANSPORT FUNCTION
R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	DISRUPTS TRANSPORT FUNCTION
R-HSA-426117	Cation-coupled Chloride cotransporters	DISRUPTS TRANSPORT FUNCTION
R-HSA-189200	Cellular hexose transport	DISRUPTS TRANSPORT FUNCTION
R-HSA-8856828	Clathrin-mediated endocytosis	DISRUPTS TRANSPORT FUNCTION
R-HSA-5682113	Defective ABCA1 causes TGD	DISRUPTS TRANSPORT FUNCTION
R-HSA-5682294	Defective ABCA12 causes ARCI4B	DISRUPTS TRANSPORT FUNCTION
R-HSA-5688399	Defective ABCA3 causes SMDP3	DISRUPTS TRANSPORT FUNCTION
R-HSA-5683371	Defective ABCB6 causes MCOPCB7	DISRUPTS TRANSPORT FUNCTION
R-HSA-5679001	Defective ABCC2 causes DJS	DISRUPTS TRANSPORT FUNCTION
R-HSA-5690338	Defective ABCC6 causes PXE	DISRUPTS TRANSPORT FUNCTION
R-HSA-5683177	Defective ABCC8 can cause hypo- and hyper-glycemias	DISRUPTS TRANSPORT FUNCTION
R-HSA-5678420	Defective ABCC9 causes CMD10, ATFB12 and Cantu syndrome	DISRUPTS TRANSPORT FUNCTION
R-HSA-5684045	Defective ABCD1 causes ALD	DISRUPTS TRANSPORT FUNCTION
R-HSA-5683329	Defective ABCD4 causes MAHCJ	DISRUPTS TRANSPORT FUNCTION
R-HSA-5679096	Defective ABCG5 causes sitosterolemia	DISRUPTS TRANSPORT FUNCTION
R-HSA-5679090	Defective ABCG8 causes GBD4 and sitosterolemia	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619099	Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)	DISRUPTS TRANSPORT FUNCTION
R-HSA-9036092	Defective AVP does not bind AVPR2 and causes neurohypophyseal diabetes insipidus (NDI)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5678895	Defective CFTR causes cystic fibrosis	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619060	Defective CP causes aceruloplasminemia (ACERULOP)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619073	Defective GCK causes maturity-onset diabetes of the young 2 (MODY2)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619056	Defective HK1 causes hexokinase deficiency (HK deficiency)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619042	Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619048	Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619104	Defective SLC12A1 causes Bartter syndrome 1 (BS1)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619087	Defective SLC12A3 causes Gitelman syndrome (GS)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619039	Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619070	Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619035	Defective SLC17A5 causes Salla disease (SD) and ISSD	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619076	Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619067	Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619062	Defective SLC1A3 causes episodic ataxia 6 (EA6)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619111	Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619071	Defective SLC22A12 causes renal hypouricemia 1 (RHUC1)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619066	Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619053	Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619077	Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619055	Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619036	Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6)	DISRUPTS TRANSPORT FUNCTION
R-HSA-3560792	Defective SLC26A2 causes chondrodysplasias	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619085	Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619046	Defective SLC26A4 causes Pendred syndrome (PDS)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619108	Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619063	Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619043	Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619068	Defective SLC2A10 causes arterial tortuosity syndrome (ATS)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619098	Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619047	Defective SLC2A9 causes hypouricemia renal 2 (RHUC2)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619061	Defective SLC33A1 causes spastic paraplegia 42 (SPG42)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619040	Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619045	Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619097	Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619072	Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619083	Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619078	Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619041	Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619088	Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619113	Defective SLC3A1 causes cystinuria (CSNU)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5655799	Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619049	Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619050	Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619054	Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5656364	Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5658208	Defective SLC5A2 causes renal glucosuria (GLYS1)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619096	Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619109	Defective SLC6A2 causes orthostatic intolerance (OI)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619089	Defective SLC6A5 causes hyperekplexia 3 (HKPX3)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619092	Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619052	Defective SLC9A9 causes autism 16 (AUTS16)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619110	Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619058	Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619095	Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619107	Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	DISRUPTS TRANSPORT FUNCTION
R-HSA-5619115	Disorders of transmembrane transporters	DISRUPTS TRANSPORT FUNCTION
R-HSA-917729	Endosomal Sorting Complex Required For Transport (ESCRT)	DISRUPTS TRANSPORT FUNCTION
R-HSA-1237044	Erythrocytes take up carbon dioxide and release oxygen	DISRUPTS TRANSPORT FUNCTION
